date,description,category
2023-04-25,tiket filem,Hiburan
2023-04-25,buku,Pendidikan
2023-04-25,bill listrik,Tagihan
2023-04-25,uber naik,Bepergian
2023-04-25,bahan makanan blnja,Makanan & Minuman
2023-04-25,gymmm,Kesehatan
2021-04-18,duber naik,Bepergian
2021-04-18,tghn token,Tagihan
2021-04-18,mkn malam di restoran,Makanan & Minuman
2021-04-18,fpenarikan atm,Gaji
2021-04-18,dokter konsultasi,Kesehatan
2021-04-18,buku,Pendidikan
2024-04-20,gym,Kesehatan
2024-12-16,ubku,Pendidikan
2024-12-16,uer naik,Bepergian
2022-10-10,kopi-kopi,Makanan & Minuman
2021-05-22,belaja blnan,Lainnya
2021-05-22,tagihan paketan,Tagihan
2021-05-22,tagihan tkoen,Tagihan
2023-02-22,kursus darng,Pendidikan
2023-02-22,api kereta tiket,Bepergian
2023-02-22,tiket pelem,Hiburan
2023-02-22,gym,Kesehatan
2023-02-22,stiket ilem,Hiburan
2023-02-22,dpenarikan atm,Gaji
2023-08-09,buku,Pendidikan
2023-08-09,pelem itket,Hiburan
2024-01-11,atm penarikan,Gaji
2024-01-11,naaik uber,Bepergian
2024-01-11,konsultai dokter,Kesehatan
2024-01-11,obat,Kesehatan
2024-01-11,bill wfii,Tagihan
2024-01-11,belanja kebutuhan bahan maman,Makanan & Minuman
2024-01-11,byr emi,Tagihan
2024-08-15,kpi,Makanan & Minuman
2024-08-15,konsultasi odkter,Kesehatan
2024-08-15,itket kereta api,Bepergian
2024-08-15,belanja blnn baahn makanan,Makanan & Minuman
2024-08-15,dapur stock,Lainnya
2024-08-15,bill internet,Tagihan
2021-10-05,santap malam di restoran,Makanan & Minuman
2023-10-22,bensin,Bepergian
2022-12-10,gymmm,Kesehatan
2021-10-31,blnja,Lainnya
2021-10-31,belanja kebuthuan,Lainnya
2021-10-31,jobat,Kesehatan
2021-11-05,ensin,Bepergian
2022-01-25,tiket kerjeta api,Bepergian
2024-09-13,tghn lsrtk,Tagihan
2023-08-22,blnan byr swea,Sewa
2024-05-13,byr emi,Tagihan
2024-05-13,buku,Pendidikan
2024-05-13,setoran tetp,Investasi
2021-12-18,mkn siang,Makanan & Minuman
2021-12-18,paketan tdghn,Tagihan
2021-12-18,penairkan atm,Gaji
2021-07-11,byr emi,Tagihan
2022-08-14,seoran tketap,Investasi
2022-08-14,benin,Bepergian
2022-08-14,blnja bahan makanan,Makanan & Minuman
2024-10-05,buku,Pendidikan
2024-10-05,obat,Kesehatan
2024-10-05,knsultasi dokter,Kesehatan
2024-11-22,stock dapr,Lainnya
2024-11-22,kpi,Makanan & Minuman
2024-05-31,kurus daring,Pendidikan
2024-05-31,kpi,Makanan & Minuman
2022-06-07,tagian listrik,Tagihan
2022-06-07,tetap setoran,Investasi
2023-03-29,ursus daring,Pendidikan
2023-03-29,belanja kebutuhn bahan mkanan,Makanan & Minuman
2023-03-29,isang konsumsi,Makanan & Minuman
2023-02-10,dokter konsultasi,Kesehatan
2022-08-27,gymmm,Kesehatan
2022-08-27,mkanan blnja baahn,Makanan & Minuman
2022-08-27,bensin,Bepergian
2022-08-27,kuliner siang,Makanan & Minuman
2022-08-27,daring kursus,Pendidikan
2024-11-05,ohbat,Kesehatan
2024-09-11,mam siang,Makanan & Minuman
2024-09-11,bensin,Bepergian
2024-09-11,kusrus daring,Pendidikan
2024-09-11,kkursus daring,Pendidikan
2024-09-11,kursus daring,Pendidikan
2022-02-17,kursus darign,Pendidikan
2022-02-17,obat,Kesehatan
2022-02-17,obat,Kesehatan
2021-04-24,atm penarikan,Gaji
2021-04-24,siang mkn,Makanan & Minuman
2021-04-24,atm penarikan,Gaji
